"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"493",272,"Berik Abdrakhmanov","M",30,165,60,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Lightweight",NA
"767",439,"Sagat Abikeyeva","F",27,160,78,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Women's Half-Heavyweight",NA
"1069",599,"Bektas Abubakirov","M",23,165,54,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Boxing","Boxing Men's Bantamweight",NA
"1108",620,"Kanat Kalizhanovich Abutalipov","M",25,168,56,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Bantamweight",NA
"1109",620,"Kanat Kalizhanovich Abutalipov","M",29,168,56,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Men's Bantamweight",NA
"1886",1034,"Viktoriya Adyeva","F",20,160,55,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"1888",1036,"Olga Olegovna Adzhigerskaya","F",26,192,65,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"2763",1539,"Marina Aleksandrovna Aitova (Korzhova-)","F",21,177,58,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's High Jump",NA
"2764",1539,"Marina Aleksandrovna Aitova (Korzhova-)","F",25,177,58,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's High Jump",NA
"2949",1642,"Akhat Akhirov","M",26,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Lightweight",NA
"2950",1643,"Sergey Akhirov","M",31,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Half-Lightweight",NA
"2957",1648,"Yerdos Zhaksimbinovich Akhmadiyev","M",28,180,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"2958",1648,"Yerdos Zhaksimbinovich Akhmadiyev","M",28,180,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"2970",1655,"Damir Akhmetbekov","M",21,170,70,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Men's Platform",NA
"2971",1655,"Damir Akhmetbekov","M",25,170,70,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Diving","Diving Men's Platform",NA
"2976",1657,"Bakhyt Beshimbekovich Akhmetov","M",25,175,105,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Weightlifting","Weightlifting Men's Middle-Heavyweight",NA
"2977",1657,"Bakhyt Beshimbekovich Akhmetov","M",29,175,105,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Men's Heavyweight",NA
"3103",1733,"Merey Akshalov","M",20,179,60,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Lightweight",NA
"3128",1743,"Yelizaveta Vyacheslavovna Aksyonova","F",18,168,60,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Luge","Luge Women's Singles",NA
"4223",2416,"Zhanbota Yerkinovna Aldabergenova","F",18,168,57,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Women's Aerials",NA
"4362",2484,"Sergey Yevgenyevich Aleksandrov","M",27,176,95,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"4382",2496,"Dmitry Sergeyevich Aleksanin","M",20,186,87,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Fencing","Fencing Men's epee, Individual",NA
